Advanced
max_subdivisions: 100000
,Error Goal 0.001
,Type,Integral,Result,Error,Time, AbsError
,simple,sin(x) from 0 to 10.000000,0.000000,0.459698,0.000061,1.000000
,simple,x^2 from 0 to 10.000000,0.000000,0.333333,0.000076,1.000000
,simple,x^3 from 0 to 10.000000,0.000000,0.250000,0.000079,1.000000
,simple,x^10000 from 0 to 10.000000,0.000000,0.000100,0.000080,1.000000
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 00.000000,0.000000,1951146.666667,0.000067,1.000000
,simple,x^-1 from 1 to 20.000000,0.000000,0.693147,0.000073,1.000000
,simple,e^x from 0 to 10.000000,0.000000,1.718282,0.000076,1.000000
,simple,x^1/2 from 0 to 10.000000,0.000000,0.666667,0.000073,1.000000
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 1-nan,-nan,nan,0.000055,nan
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 10.000000,0.000000,8.000000,0.000052,nan
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 10.000000,0.000000,0.311736,0.000075,nan
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 3-nan,-nan,nan,0.000054,nan
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 10.000000,0.000000,0.499986,0.000071,nan
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 3-nan,-nan,nan,0.000076,nan
,discontinuous,floor(x) (middle discontinuity) from 0 to 20.000000,0.000000,1.000000,0.000054,nan
,discontinuous,piecewise (middle discontinuity) from 0 to 2nan,nan,nan,0.000052,nan
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-nan,-nan,nan,0.000078,nan
,badly behaved,ln(x) from 0 to 1-nan,-nan,nan,0.000076,nan
,badly behaved,ln(x^2) from 8 to 90.000000,0.000000,4.278978,0.000076,nan
,badly behaved,ln(1/x) from 0 to 1-nan,-nan,nan,0.000053,nan
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.63662-nan,-nan,nan,0.000059,nan
,badly behaved,ln(abs(x-0.7)) from 0 to 10.000000,0.000000,1.610864,0.000075,nan
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 1-nan,-nan,nan,0.000083,nan
,badly behaved,e^x/(x^(1/pi) from 0 to 1-nan,-nan,nan,0.000080,nan
