Advanced
max_subdivisions: 100000
,Error Goal 0.000001
,Type,Integral,Result,Error,Time, AbsError
,simple,x^1/2 from 0 to 10.666667,0.666667,0.000000,0.000066,0.947134
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 11.317902,1.317902,0.000000,0.000049,0.973208
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 17.999999,7.999999,0.000001,0.000051,0.986513
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 10.311736,0.311736,0.000000,0.000053,0.993234
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 31.848653,1.848653,0.000000,0.000066,0.996611
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 10.499986,0.499986,0.000000,0.000041,0.998304
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 38.000000,8.000000,0.000000,0.000049,0.999152
,discontinuous,floor(x) (middle discontinuity) from 0 to 21.000000,1.000000,0.000000,0.000046,0.999576
,discontinuous,piecewise (middle discontinuity) from 0 to 22.500000,2.500000,0.000000,0.000063,0.999788
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-20.844942,-20.844942,0.000042,0.000236,0.999894
,badly behaved,ln(x) from 0 to 1-1.000000,-1.000000,0.000000,0.000058,0.999947
,badly behaved,ln(x^2) from 8 to 94.278978,4.278978,0.000000,0.000050,0.999973
,badly behaved,ln(1/x) from 0 to 11.000000,1.000000,0.000000,0.000052,0.999987
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.636620.058568,0.058568,0.000000,0.000061,0.999993
,badly behaved,ln(abs(x-0.7)) from 0 to 1-1.610864,-1.610864,0.000000,0.000060,0.999997
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 12.998214,2.998214,0.000000,0.000049,0.999998
,badly behaved,e^x/(x^(1/pi) from 0 to 12.303904,2.303904,0.000000,0.000062,0.999999
,simple,sin(x) from 0 to 10.459698,0.459698,0.000000,0.000054,1.000000
,simple,x^2 from 0 to 10.333333,0.333333,0.000000,0.000064,1.000000
,simple,x^3 from 0 to 10.250000,0.250000,0.000000,0.000052,1.000000
,simple,x^10000 from 0 to 10.000100,0.000100,0.000000,0.000050,1.000000
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 01951146.666667,1951146.666667,0.000000,0.000095,1.000000
,simple,x^-1 from 1 to 20.693147,0.693147,0.000000,0.000058,1.000000
,simple,e^x from 0 to 11.718282,1.718282,0.000000,0.000047,1.000000
,simple,x^1/2 from 0 to 10.666667,0.666667,0.000000,0.000052,1.000000
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 11.317902,1.317902,0.000000,0.000055,1.000000
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 18.000000,8.000000,0.000000,0.000051,1.000000
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 10.311736,0.311736,0.000000,0.000052,1.000000
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 31.848653,1.848653,0.000000,0.000054,1.000000
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 10.499986,0.499986,0.000000,0.000041,1.000000
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 38.000000,8.000000,0.000000,0.000048,1.000000
,discontinuous,floor(x) (middle discontinuity) from 0 to 21.000000,1.000000,0.000000,0.000047,1.000000
,discontinuous,piecewise (middle discontinuity) from 0 to 22.500000,2.500000,0.000000,0.000048,1.000000
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-20.844942,-20.844942,0.000042,0.000059,1.000000
,badly behaved,ln(x) from 0 to 1-1.000000,-1.000000,0.000000,0.000054,1.000000
,badly behaved,ln(x^2) from 8 to 94.278978,4.278978,0.000000,0.000055,1.000000
,badly behaved,ln(1/x) from 0 to 11.000000,1.000000,0.000000,0.000063,1.000000
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.636620.058568,0.058568,0.000000,0.000070,1.000000
,badly behaved,ln(abs(x-0.7)) from 0 to 1-1.610864,-1.610864,0.000000,0.000042,1.000000
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 12.998214,2.998214,0.000000,0.000059,1.000000
,badly behaved,e^x/(x^(1/pi) from 0 to 12.303904,2.303904,0.000000,0.000055,1.000000
,simple,sin(x) from 0 to 10.000000,0.000000,0.459698,0.000061,1.000000
,simple,x^2 from 0 to 10.000000,0.000000,0.333333,0.000059,1.000000
,simple,x^3 from 0 to 10.000000,0.000000,0.250000,0.000062,1.000000
,simple,x^10000 from 0 to 10.000000,0.000000,0.000100,0.000059,1.000000
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 00.000000,0.000000,1951146.666667,0.000064,1.000000
,simple,x^-1 from 1 to 20.000000,0.000000,0.693147,0.000056,1.000000
,simple,e^x from 0 to 10.000000,0.000000,1.718282,0.000061,1.000000
,simple,x^1/2 from 0 to 10.000000,0.000000,0.666667,0.000057,1.000000
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 1-nan,-nan,nan,0.000058,nan
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 10.000000,0.000000,8.000000,0.000054,nan
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 10.000000,0.000000,0.311736,0.000062,nan
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 3-nan,-nan,nan,0.000059,nan
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 10.000000,0.000000,0.499986,0.000055,nan
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 3-nan,-nan,nan,0.000054,nan
,discontinuous,floor(x) (middle discontinuity) from 0 to 20.000000,0.000000,1.000000,0.000058,nan
,discontinuous,piecewise (middle discontinuity) from 0 to 2nan,nan,nan,0.000062,nan
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-nan,-nan,nan,0.000057,nan
,badly behaved,ln(x) from 0 to 1-nan,-nan,nan,0.000055,nan
,badly behaved,ln(x^2) from 8 to 90.000000,0.000000,4.278978,0.000061,nan
,badly behaved,ln(1/x) from 0 to 1-nan,-nan,nan,0.000061,nan
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.63662-nan,-nan,nan,0.000062,nan
,badly behaved,ln(abs(x-0.7)) from 0 to 10.000000,0.000000,1.610864,0.000056,nan
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 1-nan,-nan,nan,0.000065,nan
,badly behaved,e^x/(x^(1/pi) from 0 to 1-nan,-nan,nan,0.000087,nan
